testmaterial,resultrowid,analytegroup,analytesubgroup,program,parentproject,project,protocol,sampleagency,stationname,stationcode,waterbodytype,latitude,longitude,datum,sampledate,collectiontime,locationcode,sampletype,collectionreplicate,resultreplicate,batch,labsampleid,matrix,method,analyte,fraction,unitname,result,mdl,rl,resultqualcode,qacode,batchverification,compliancecode,collectionmethod,collectiondevice,preppreservation,preppreservationdate,digestextractmethod,digestextractdate,analysisdate,dilution_df,expectedvalue,labagency,submittingagency,labsubmissioncode,batchcomments,compositeid,compositetype,compositereplicate,commonname,species,compositetissueprep,numberfishpercomp,tissuename,weightavg_g,tlmin_mm,tlmax_mm,tlavglength_mm,metadataurl,datedownloaded,sourcerdc,datausenotes
tissue,5377FCF3-4EC2-4FAB-8DA1-66A76F6DE35E,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Pinole Point (BD30),BD30,Bays and Harbors,38.024,-122.363,wgs84,1993/10/06,00:00:00,OpenWater1,Composite,"1","1",Target,,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g dw,72.1687,0.132636364,0.132636364,=,None,VLC,Com,Bag_MNT,Container,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/13,1,,GERG,Not Recorded,A,RMP ,1993-10-Bivalves-BD30-PCB-MCAL-GERG,Normal,"1",California Mussel,Mytilus californianus,FieldFrozen,,whole organism,,,,,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,D0C9B980-271B-4CF3-9724-A235763CF0C1,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Redwood Creek (BA40),BA40,Bays and Harbors,37.559,-122.209,wgs84,1993/10/06,00:00:00,OpenWater1,Composite,"1","1",Target,,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g dw,207.3631,0.130081818,0.130081818,=,None,VLC,Com,Bag_MNT,Container,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/15,1,,GERG,Not Recorded,A,RMP ,1993-10-Bivalves-BA40-PCB-MCAL-GERG,Normal,"1",California Mussel,Mytilus californianus,FieldFrozen,,whole organism,,,,,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,748E79D2-17C6-46BA-B483-90D4AF4DB73B,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Reference Site (T-0 Bodega Head),T-0Bodega,Bays and Harbors,38.3,-123.07,wgs84,1993/06/25,00:00:00,SurfZone,Composite,"1","1",Target,,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g dw,17.3154,0.13,0.13,=,None,VLC,Com,Tissue_Grab,Individual Collection by hand,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/12,1,,GERG,Not Recorded,A,RMP ,1993-10-Bivalves-T-0Bodega-PCB-MCAL-GERG,Normal,"1",California Mussel,Mytilus californianus,FieldFrozen,,whole organism,,,,,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,FD85C0B9-EFCD-4C9D-AB35-CB4D2C8AB0E8,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Horseshoe Bay (BC21),BC21,Bays and Harbors,37.831,-122.4775,wgs84,1993/10/06,00:00:00,OpenWater1,Composite,"1","1",Target,,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g dw,124.75266,0.133,0.133,=,None,VLC,Com,Bag_MNT,Container,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/13,1,,GERG,Not Recorded,A,RMP ,1993-10-Bivalves-BC21-PCB-MCAL-GERG,Normal,"1",California Mussel,Mytilus californianus,FieldFrozen,,whole organism,,,,,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,0A36CCAE-9008-497B-8CB5-9AF4F9139ACD,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Napa River (BD50),BD50,Bays and Harbors,38.097,-122.261,wgs84,1993/10/06,00:00:00,OpenWater1,Composite,"1","1",Target,,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g dw,13.715,1.0655,1.0655,=,None,VLC,Com,Bag_MNT,Container,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/12,1,,GERG,Not Recorded,A,RMP ,1993-10-Bivalves-BD50-PCB-MCAL-GERG,Normal,"1",California Mussel,Mytilus californianus,FieldFrozen,,whole organism,,,,,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,F009B24E-9247-4154-AC25-EBE8EA79B989,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Yerba Buena Island (BC10),BC10,Bays and Harbors,37.8215833,-122.3495,wgs84,1993/10/06,00:00:00,OpenWater1,Composite,"1","1",Target,,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g dw,190.95,0.129757143,0.129757143,=,None,VLC,Com,Bag_MNT,Container,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/13,1,,GERG,Not Recorded,A,RMP ,1993-10-Bivalves-BC10-PCB-MCAL-GERG,Normal,"1",California Mussel,Mytilus californianus,FieldFrozen,,whole organism,,,,,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,F1B6A09A-13BD-48EE-975E-2D2CE78E4E9E,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - Status and Trends,1993 RMP Status and Trends,RMP,AMS-CA,Dumbarton Bridge (BA30),BA30,Bays and Harbors,37.51375,-122.1346166,wgs84,1993/10/06,00:00:00,OpenWater1,Composite,"1","1",Target,,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g dw,85.551,0.132911111,0.132911111,=,None,VLC,Com,Bag_MNT,Container,FieldFrozen,1950/01/01,Not Recorded,1950/01/01,1994/07/12,1,,GERG,Not Recorded,A,RMP ,1993-10-Bivalves-BA30-PCB-MCAL-GERG,Normal,"1",California Mussel,Mytilus californianus,FieldFrozen,,whole organism,,,,,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,F8957C94-6580-419A-A62B-84E2EE1FEFC4,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Islais Creek,2RMPIC,Bays and Harbors,37.74633333,-122.372,wgs84,1994/05/04,00:00:00,Location1Net1,Composite,"1","1",Target,"24008",tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,68.969,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1950/01/01,Not Recorded,1950/01/01,1950/01/01,-88,,HML,Not Recorded,NR,,5/4/19942RMPIC1265-FIL,Normal,"1",Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on","20","whole without Head, Tail and Guts",,109,109,109,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,D65EF83D-BB59-4A96-96F8-3945A48D3FED,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Richmond Harbor,2RMPRH,Bays and Harbors,37.9105,-122.3488333,wgs84,1994/05/10,00:00:00,Location1Net1,Composite,"1","1",Target,"24004",tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,105.175,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1950/01/01,Not Recorded,1950/01/01,1950/01/01,-88,,HML,Not Recorded,NR,,5/10/19942RMPRH1248-FIL,Normal,"1",Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on","20","whole without Head, Tail and Guts",,82,82,82,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,AEFF5E78-7E8B-49BB-BBCF-6C60A384B698,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Oakland Middle Harbor Pier,2RMPOIHP,Bays and Harbors,37.79316667,-122.3038333,wgs84,1994/05/05,00:00:00,Location1Net1,Composite,"1","1",Target,"24009",tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,74.919,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1950/01/01,Not Recorded,1950/01/01,1950/01/01,-88,,HML,Not Recorded,NR,,5/5/19942RMPOIHP1269-FIL,Normal,"1",Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on","20","whole without Head, Tail and Guts",,122.5,122.5,122.5,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,C2834E20-96B6-40B1-BE5E-6BA53FD5E930,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Oakland Inner Harbor (Fruitvale),2RMPOIHF,Bays and Harbors,37.7685,-122.23,wgs84,1994/05/06,00:00:00,Location1Net1,Composite,"1","1",Target,"24006",tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,243.652,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1950/01/01,Not Recorded,1950/01/01,1950/01/01,-88,,HML,Not Recorded,NR,,5/6/19942RMPOIHF1254-FIL,Normal,"1",Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on","20","whole without Head, Tail and Guts",,106.5,106.5,106.5,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,B0D3672D-57D4-496C-89D3-AE509BD0D330,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Dumbarton Bridge,2RMPDMB,Bays and Harbors,37.50583333,-122.12,wgs84,1994/05/02,00:00:00,Location1Net1,Composite,"1","1",Target,"24002",tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,52.447,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1950/01/01,Not Recorded,1950/01/01,1950/01/01,-88,,HML,Not Recorded,NR,,5/2/19942RMPDMB1241-FIL,Normal,"1",Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on","20","whole without Head, Tail and Guts",,129.5,129.5,129.5,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,CF5FCBE6-9EB8-4243-9D58-CD6A18464794,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Berkeley Pier-2RMPBERP,2RMPBERP,Bays and Harbors,37.86516667,-122.3211667,wgs84,1994/05/09,00:00:00,Pier1,Composite,"1","1",Target,"24005",tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,79.95,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1950/01/01,Not Recorded,1950/01/01,1950/01/01,-88,,HML,Not Recorded,NR,,5/9/19942RMPBERP1250-FIL,Normal,"1",Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on","20","whole without Head, Tail and Guts",,108.5,108.5,108.5,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,431C51BE-1264-4984-BC12-0D65C20BBE43,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Richmond Harbor,2RMPRH,Bays and Harbors,37.9105,-122.3488333,wgs84,1994/05/10,00:00:00,Location1Net1,Composite,"1","1",Target,"24004",tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,89.419,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1950/01/01,Not Recorded,1950/01/01,1950/01/01,-88,,HML,Not Recorded,NR,,5/10/19942RMPRH1247-FIL,Normal,"1",Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on","20","whole without Head, Tail and Guts",,91.5,91.5,91.5,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,B037D6D6-4D6A-440F-A834-1D634C1F208C,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Double Rock (Candlestick),2RMPDRCP,Bays and Harbors,37.711,-122.3656667,wgs84,1994/05/04,00:00:00,Location1Net1,Composite,"1","1",Target,"24007",tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,238.074,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1950/01/01,Not Recorded,1950/01/01,1950/01/01,-88,,HML,Not Recorded,NR,,5/4/19942RMPDRCP1261-FIL,Normal,"1",Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on","20","whole without Head, Tail and Guts",,126,126,126,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,66C3E4AB-FE2A-4B42-BEF4-62EB7A3F6D72,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,San Mateo Bridge-2RMPSMB,2RMPSMB,Bays and Harbors,37.59417222,-122.2471167,wgs84,1994/05/03,00:00:00,Location1Net1,Composite,"1","1",Target,"24001",tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,70.056,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1950/01/01,Not Recorded,1950/01/01,1950/01/01,-88,,HML,Not Recorded,NR,,5/3/19942RMPSMB1237-FIL,Normal,"1",Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on","20","whole without Head, Tail and Guts",,119.5,119.5,119.5,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,1EBBE2D7-9B5D-4E83-B692-5E0CD82308F2,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Berkeley Pier-2RMPBERP,2RMPBERP,Bays and Harbors,37.86516667,-122.3211667,wgs84,1994/05/09,00:00:00,Pier1,Composite,"1","1",Target,"24005",tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,46.883,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1950/01/01,Not Recorded,1950/01/01,1950/01/01,-88,,HML,Not Recorded,NR,,5/9/19942RMPBERP1252-FIL,Normal,"1",Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on","20","whole without Head, Tail and Guts",,82,82,82,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,5C6C2E52-C77F-4699-8141-BC513D6B77D8,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Richmond Harbor,2RMPRH,Bays and Harbors,37.9105,-122.3488333,wgs84,1994/05/10,00:00:00,Location1Net1,Composite,"1","1",Target,"24004",tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,113.419,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1950/01/01,Not Recorded,1950/01/01,1950/01/01,-88,,HML,Not Recorded,NR,,5/10/19942RMPRH1246-FIL,Normal,"1",Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on","20","whole without Head, Tail and Guts",,109.5,109.5,109.5,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,27E3083D-48DD-419C-8343-C10F3D883B63,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Berkeley Pier-2RMPBERP,2RMPBERP,Bays and Harbors,37.86516667,-122.3211667,wgs84,1994/05/09,00:00:00,Pier1,Composite,"1","1",Target,"24005",tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,47.957,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1950/01/01,Not Recorded,1950/01/01,1950/01/01,-88,,HML,Not Recorded,NR,,5/9/19942RMPBERP1251-FIL,Normal,"1",Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on","20","whole without Head, Tail and Guts",,92.5,92.5,92.5,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,BDFABFD2-7F4C-408E-8623-C16052B0BCA8,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Oakland Inner Harbor (Fruitvale),2RMPOIHF,Bays and Harbors,37.7685,-122.23,wgs84,1994/05/06,00:00:00,Location1Net1,Composite,"1","1",Target,"24006",tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,164.787,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1950/01/01,Not Recorded,1950/01/01,1950/01/01,-88,,HML,Not Recorded,NR,,5/6/19942RMPOIHF1255-FIL,Normal,"1",Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on","20","whole without Head, Tail and Guts",,90.5,90.5,90.5,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
tissue,FEEB8288-D99C-410C-8CB5-F2BB4AE6DFB0,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Oakland Inner Harbor (Fruitvale),2RMPOIHF,Bays and Harbors,37.7685,-122.23,wgs84,1994/05/06,00:00:00,Location1Net1,Composite,"1","1",Target,"24006",tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,166.971,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1950/01/01,Not Recorded,1950/01/01,1950/01/01,-88,,HML,Not Recorded,NR,,5/6/19942RMPOIHF1256-FIL,Normal,"1",Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on","20","whole without Head, Tail and Guts",,84,84,84,http://cd3.sfei.org/metadata.php,2020/11/27,SFEI,
