testmaterial,resultrowid,analytegroup,analytesubgroup,program,parentproject,project,protocol,sampleagency,stationname,stationcode,waterbodytype,latitude,longitude,datum,sampledate,collectiontime,locationcode,sampletype,collectionreplicate,resultreplicate,batch,labsampleid,matrix,method,analyte,fraction,unitname,result,mdl,rl,resultqualcode,qacode,batchverification,compliancecode,collectionmethod,collectiondevice,preppreservation,preppreservationdate,digestextractmethod,digestextractdate,analysisdate,dilution_df,expectedvalue,labagency,submittingagency,labsubmissioncode,batchcomments,compositeid,compositetype,compositereplicate,commonname,species,compositetissueprep,numberfishpercomp,tissuename,weightavg_g,tlmin_mm,tlmax_mm,tlavglength_mm,metadataurl,datedownloaded,sourcerdc,location
tissue,5C6C2E52-C77F-4699-8141-BC513D6B77D8,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Richmond Harbor,2RMPRH,Bays and Harbors,37.9105,-122.3488333,wgs84,5/10/1994,0:00:00,Location1Net1,Composite,1,1,Target,24004,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,113.419,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,HML,Not Recorded,NR,,5/10/19942RMPRH1246-FIL,Normal,1,Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on",20,"whole without Head, Tail and Guts",,109.5,109.5,109.5,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,27E3083D-48DD-419C-8343-C10F3D883B63,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Berkeley Pier-2RMPBERP,2RMPBERP,Bays and Harbors,37.86516667,-122.3211667,wgs84,5/9/1994,0:00:00,Pier1,Composite,1,1,Target,24005,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,47.957,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,HML,Not Recorded,NR,,5/9/19942RMPBERP1251-FIL,Normal,1,Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on",20,"whole without Head, Tail and Guts",,92.5,92.5,92.5,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,BDFABFD2-7F4C-408E-8623-C16052B0BCA8,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Oakland Inner Harbor (Fruitvale),2RMPOIHF,Bays and Harbors,37.7685,-122.23,wgs84,5/6/1994,0:00:00,Location1Net1,Composite,1,1,Target,24006,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,164.787,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,HML,Not Recorded,NR,,5/6/19942RMPOIHF1255-FIL,Normal,1,Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on",20,"whole without Head, Tail and Guts",,90.5,90.5,90.5,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,FEEB8288-D99C-410C-8CB5-F2BB4AE6DFB0,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1994 BPTCP FISH,RMP_FISH,MPSL-MLML,Oakland Inner Harbor (Fruitvale),2RMPOIHF,Bays and Harbors,37.7685,-122.23,wgs84,5/6/1994,0:00:00,Location1Net1,Composite,1,1,Target,24006,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,166.971,,,=,None,NR,Qual,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,HML,Not Recorded,NR,,5/6/19942RMPOIHF1256-FIL,Normal,1,Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on",20,"whole without Head, Tail and Guts",,84,84,84,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,1CBC43EC-546F-48C1-BF82-148D10B04752,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1997 RMP FISH,RMP_FISH,MPSL-MLML,Berkeley-2RMPBERKI,2RMPBERKI,Bays and Harbors,37.84908333,-122.3500833,wgs84,6/13/1997,0:00:00,Location1Net1,Composite,1,1,Target,4BRK,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,253.564,,,=,None,NR,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,DFW-WPCL,Not Recorded,NR,,6/13/19972RMPBERKC974101,Normal,1,White Croaker,Genyonemus lineatus,"Skin on, Scales on",5,fillet,226.4013,260,260,260,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,26AD6852-4729-499E-94E7-03962916C3B8,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1997 RMP FISH,RMP_FISH,MPSL-MLML,Berkeley-2RMPBERKI,2RMPBERKI,Bays and Harbors,37.84908333,-122.3500833,wgs84,6/13/1997,0:00:00,Location1Net1,Composite,1,1,Target,4BRK,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,190.33,,,=,None,NR,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,DFW-WPCL,Not Recorded,NR,,6/13/19972RMPBERKC974103,Normal,1,White Croaker,Genyonemus lineatus,"Skin on, Scales on",5,fillet,171.39474,250,250,250,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,8968DCF1-C476-4FEF-9EF0-2769891FE3D3,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1997 RMP FISH,RMP_FISH,MPSL-MLML,Berkeley-2RMPBERKI,2RMPBERKI,Bays and Harbors,37.84908333,-122.3500833,wgs84,6/13/1997,0:00:00,Location1Net1,Composite,1,1,Target,4BRK,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,9.446,,,=,None,NR,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,DFW-WPCL,Not Recorded,NR,,6/13/19972RMPBERKI974603-OFF-FIL,Normal,1,California Halibut,Paralichthys californicus,Skin off,1,fillet,,600,600,600,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,07D21E3B-3DF9-4EDA-BC2F-D50CD2D53488,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1997 RMP FISH,RMP_FISH,MPSL-MLML,Berkeley-2RMPBERKI,2RMPBERKI,Bays and Harbors,37.84908333,-122.3500833,wgs84,6/17/1997,0:00:00,Location1Net1,Composite,1,1,Target,4BRK,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,14.63,,,=,None,NR,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,DFW-WPCL,Not Recorded,NR,,6/17/19972RMPBERKI974604-OFF-FIL,Normal,1,California Halibut,Paralichthys californicus,Skin off,1,fillet,,730,730,730,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,3E9E5DBE-9FD9-48D1-8940-CE7E776FC045,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1997 RMP FISH,RMP_FISH,MPSL-MLML,Berkeley-2RMPBERKI,2RMPBERKI,Bays and Harbors,37.84908333,-122.3500833,wgs84,6/13/1997,0:00:00,Location1Net1,Composite,1,1,Target,4BRK,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,12.885,,,=,None,NR,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,DFW-WPCL,Not Recorded,NR,,6/13/19972RMPBERKC974401,Normal,1,Leopard shark,Triakis semifasciata,Skin off,3,fillet,,920,920,920,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,6FD19282-7369-42DA-BC50-6C980F585536,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1997 RMP FISH,RMP_FISH,MPSL-MLML,Berkeley-2RMPBERKI,2RMPBERKI,Bays and Harbors,37.84908333,-122.3500833,wgs84,6/13/1997,0:00:00,Location1Net1,Composite,1,1,Target,4BRK,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,12.273,,,=,None,NR,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,DFW-WPCL,Not Recorded,NR,,6/13/19972RMPBERKC974402,Normal,1,Leopard shark,Triakis semifasciata,Skin off,3,fillet,,1000,1000,1000,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,8F2E1A25-14C2-45FB-A5F0-CA80275EBB62,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1997 RMP FISH,RMP_FISH,MPSL-MLML,Berkeley-2RMPBERKI,2RMPBERKI,Bays and Harbors,37.84908333,-122.3500833,wgs84,6/12/1997,0:00:00,Location1Net1,Composite,1,1,Target,4BRK,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,14.565,,,=,None,NR,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,DFW-WPCL,Not Recorded,NR,,6/12/19972RMPBERKI974601-OFF-FIL,Normal,1,California Halibut,Paralichthys californicus,Skin off,1,fillet,,750,750,750,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,458568F0-848A-493B-9E4D-6353E309FE8D,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1997 RMP FISH,RMP_FISH,MPSL-MLML,Berkeley-2RMPBERKI,2RMPBERKI,Bays and Harbors,37.84908333,-122.3500833,wgs84,6/13/1997,0:00:00,Location1Net1,Composite,1,1,Target,4BRK,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,182.745,,,=,None,NR,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,DFW-WPCL,Not Recorded,NR,,6/13/19972RMPBERKC974102,Normal,1,White Croaker,Genyonemus lineatus,"Skin on, Scales on",5,fillet,178.5402,250,250,250,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,5178EA84-8612-403F-8856-7FFCBEB68A4D,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1997 RMP FISH,RMP_FISH,MPSL-MLML,Berkeley-2RMPBERKI,2RMPBERKI,Bays and Harbors,37.84908333,-122.3500833,wgs84,6/13/1997,0:00:00,Location1Net1,Composite,1,1,Target,4BRK,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,41.046,,,=,None,NR,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,DFW-WPCL,Not Recorded,NR,,6/13/19972RMPBERKC974501,Normal,1,Striped Bass,Morone saxatilis,Skin off,3,fillet,,510,510,510,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,26FC2314-BC4F-430C-A97E-EBD0B7E5FCF9,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1997 RMP FISH,RMP_FISH,MPSL-MLML,Berkeley-2RMPBERKI,2RMPBERKI,Bays and Harbors,37.84908333,-122.3500833,wgs84,6/13/1997,0:00:00,Location1Net1,Composite,1,1,Target,4BRK,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,14.817,,,=,None,NR,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,DFW-WPCL,Not Recorded,NR,,6/13/19972RMPBERKI974602-OFF-FIL,Normal,1,California Halibut,Paralichthys californicus,Skin off,1,fillet,,790,790,790,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,00994F18-BA0C-47DB-A1AD-D465661A0EA2,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1997 RMP FISH,RMP_FISH,MPSL-MLML,Berkeley-2RMPBERKI,2RMPBERKI,Bays and Harbors,37.84908333,-122.3500833,wgs84,6/18/1997,0:00:00,Location1Net1,Composite,1,1,Target,4BRK,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,34.217,,,=,None,NR,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,DFW-WPCL,Not Recorded,NR,,6/18/19972RMPBERKC974502,Normal,1,Striped Bass,Morone saxatilis,Skin off,2,fillet,,690,690,690,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,549D6D7B-4FB1-4C73-AA4D-558AA6483BDA,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1997 RMP FISH,RMP_FISH,MPSL-MLML,Berkeley-2RMPBERKI,2RMPBERKI,Bays and Harbors,37.84908333,-122.3500833,wgs84,6/12/1997,0:00:00,Location1Net1,Composite,1,1,Target,4BRK,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,24.194,,,=,None,NR,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,DFW-WPCL,Not Recorded,NR,,6/12/19972RMPBERKC974301-WB-WNHTG,Normal,1,Jacksmelt,Atherinopsis californiensis,"Skin on, Scales on",5,"whole without Head, Tail and Guts",91.31166,262.5,262.5,262.5,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,447615CD-5470-4CFF-8800-335AEC9574CD,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1997 RMP FISH,RMP_FISH,MPSL-MLML,Berkeley-2RMPBERKI,2RMPBERKI,Bays and Harbors,37.84908333,-122.3500833,wgs84,6/13/1997,0:00:00,Location1Net1,Composite,1,1,Target,4BRK,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,111.997,,,=,None,NR,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,DFW-WPCL,Not Recorded,NR,,6/13/19972RMPBERKC974203-WB-WNHTG,Normal,1,Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on",20,"whole without Head, Tail and Guts",21.51342,125,125,125,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,12680C64-3287-44CD-8CE9-A579812C291E,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1997 RMP FISH,RMP_FISH,MPSL-MLML,Berkeley-2RMPBERKI,2RMPBERKI,Bays and Harbors,37.84908333,-122.3500833,wgs84,6/12/1997,0:00:00,Location1Net1,Composite,1,1,Target,4BRK,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,128.911,,,=,None,NR,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,DFW-WPCL,Not Recorded,NR,,6/12/19972RMPBERKC974201-WB-WNHTG,Normal,1,Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on",20,"whole without Head, Tail and Guts",20.69487,127.5,127.5,127.5,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,A75BEF5A-E52B-45E6-A3B5-600C25E252E9,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1997 RMP FISH,RMP_FISH,MPSL-MLML,Berkeley-2RMPBERKI,2RMPBERKI,Bays and Harbors,37.84908333,-122.3500833,wgs84,6/12/1997,0:00:00,Location1Net1,Composite,1,1,Target,4BRK,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,107.644,,,=,None,NR,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,DFW-WPCL,Not Recorded,NR,,6/12/19972RMPBERKC974202-WB-WNHTG,Normal,1,Shiner Surfperch,Cymatogaster aggregata,"Skin on, Scales on",20,"whole without Head, Tail and Guts",20.67561,117.5,117.5,117.5,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
tissue,D65732E6-600C-4415-BB21-383C60DD7294,PCBs,,SF Bay Regional Monitoring for Water Quality,Regional Monitoring Program - FISH,1997 RMP FISH,RMP_FISH,MPSL-MLML,Berkeley-2RMPBERKI,2RMPBERKI,Bays and Harbors,37.84908333,-122.3500833,wgs84,6/12/1997,0:00:00,Location1Net1,Composite,1,1,Target,4BRK,tissue,Not Recorded,Sum of 40 PCBs (SFEI),Total,ng/g ww,26.965,,,=,None,NR,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,-88,,DFW-WPCL,Not Recorded,NR,,6/12/19972RMPBERKC974303-WB-WNHTG,Normal,1,Jacksmelt,Atherinopsis californiensis,"Skin on, Scales on",5,"whole without Head, Tail and Guts",97.59042,260,260,260,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,central
