testmaterial,resultrowid,analytegroup,analytesubgroup,program,parentproject,project,protocol,sampleagency,stationname,stationcode,waterbodytype,latitude,longitude,datum,sampledate,collectiontime,locationcode,sampletype,collectionreplicate,resultreplicate,batch,labsampleid,matrix,method,analyte,fraction,unitname,result,mdl,rl,resultqualcode,qacode,batchverification,compliancecode,collectionmethod,collectiondevice,preppreservation,preppreservationdate,digestextractmethod,digestextractdate,analysisdate,dilution_df,expectedvalue,labagency,submittingagency,labsubmissioncode,batchcomments,compositeid,compositetype,compositereplicate,commonname,species,compositetissueprep,numberfishpercomp,tissuename,weightavg_g,tlmin_mm,tlmax_mm,tlavglength_mm,metadataurl,datedownloaded,sourcerdc,location
tissue,688D3FBA-8E47-4A3C-A07A-5D82BFFFBC3B,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Selby Slag 7,206ST1638,Riv/Str_Unknown,38.0578,-122.2317,nad83,1/14/1988,0:00:00,Not Recorded,Composite,1,1,NA,24023; SFEIRowID:223340,tissue,Not Recorded,Mercury,Total,ug/g dw,0.269,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/14/1988-206ST1638-13487-WNG,Normal,1,California Mussel,Mytilus californianus,Not Recorded,15,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,18FD6112-82AC-4C89-B8DC-1E3CD7CB7BBB,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Selby Slag 7,206ST1638,Riv/Str_Unknown,38.0578,-122.2317,nad83,1/14/1988,0:00:00,Not Recorded,Composite,1,1,NA,24023; SFEIRowID:242834,tissue,Not Recorded,Mercury,Total,ug/g ww,0.022,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/14/1988-206ST1638-13487-WNG,Normal,1,California Mussel,Mytilus californianus,Not Recorded,15,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,83FAE533-6A90-49C9-9172-F2C28C846E79,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Mare Island,206ST0853,Bays and Harbors,38.075,-122.2458,nad83,12/30/1988,0:00:00,Not Recorded,Composite,1,1,NA,25024; SFEIRowID:223388,tissue,Not Recorded,Mercury,Total,ug/g dw,0.5143,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",12/30/1988-206ST0853-13641-WNG,Normal,1,California Mussel,Mytilus californianus,Not Recorded,45,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,579FAFC6-2C99-43D7-A96C-FDD174C2B573,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Mare Island,206ST0853,Bays and Harbors,38.075,-122.2458,nad83,12/30/1988,0:00:00,Not Recorded,Composite,1,1,NA,25024; SFEIRowID:242882,tissue,Not Recorded,Mercury,Total,ug/g ww,0.036,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",12/30/1988-206ST0853-13641-WNG,Normal,1,California Mussel,Mytilus californianus,Not Recorded,45,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,9017875F-3919-43EC-8556-F23BCCDB2CAD,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Selby Slag 4,206ST1635,Riv/Str_Unknown,38.0569,-122.2478,nad83,1/14/1988,0:00:00,Not Recorded,Composite,1,1,NA,24020; SFEIRowID:223313,tissue,Not Recorded,Mercury,Total,ug/g dw,0.263,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/14/1988-206ST1635-13484-WNG,Normal,1,California Mussel,Mytilus californianus,Not Recorded,15,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,97EC0754-751D-4809-9EA8-5E97E9666E2E,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Selby Slag 4,206ST1635,Riv/Str_Unknown,38.0569,-122.2478,nad83,1/14/1988,0:00:00,Not Recorded,Composite,1,1,NA,24020; SFEIRowID:242807,tissue,Not Recorded,Mercury,Total,ug/g ww,0.034,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/14/1988-206ST1635-13484-WNG,Normal,1,California Mussel,Mytilus californianus,Not Recorded,15,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,995B225B-DDC1-4BAC-A029-DA39492D62C3,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Selby Slag 5,206ST1636,Riv/Str_Unknown,38.0581,-122.2467,nad83,1/14/1988,0:00:00,Not Recorded,Composite,1,1,NA,24021; SFEIRowID:223322,tissue,Not Recorded,Mercury,Total,ug/g dw,0.176,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/14/1988-206ST1636-13485-WNG,Normal,1,California Mussel,Mytilus californianus,Not Recorded,15,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,1B11E4D8-AAB1-4DBD-93EA-6D71101DA6CC,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Selby Slag 5,206ST1636,Riv/Str_Unknown,38.0581,-122.2467,nad83,1/14/1988,0:00:00,Not Recorded,Composite,1,1,NA,24021; SFEIRowID:242816,tissue,Not Recorded,Mercury,Total,ug/g ww,0.015,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/14/1988-206ST1636-13485-WNG,Normal,1,California Mussel,Mytilus californianus,Not Recorded,15,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,76EE3809-F392-4FD7-8EB1-598FA512E43F,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Selby Slag 6,206ST1637,Riv/Str_Unknown,38.0586,-122.2386,nad83,1/14/1988,0:00:00,Not Recorded,Composite,1,1,NA,24022; SFEIRowID:223331,tissue,Not Recorded,Mercury,Total,ug/g dw,0.217,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/14/1988-206ST1637-13486-WNG,Normal,1,California Mussel,Mytilus californianus,Not Recorded,15,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,5DC28983-5852-4B66-8DA3-FAAE3D519BBC,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Selby Slag 6,206ST1637,Riv/Str_Unknown,38.0586,-122.2386,nad83,1/14/1988,0:00:00,Not Recorded,Composite,1,1,NA,24022; SFEIRowID:242825,tissue,Not Recorded,Mercury,Total,ug/g ww,0.017,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/14/1988-206ST1637-13486-WNG,Normal,1,California Mussel,Mytilus californianus,Not Recorded,15,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,B12E33A4-60BA-4544-AFA1-BBCAD926D234,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Mare Island,206ST0853,Bays and Harbors,38.075,-122.2458,nad83,1/14/1988,0:00:00,Not Recorded,Composite,1,1,NA,24024; SFEIRowID:223378,tissue,Not Recorded,Mercury,Total,ug/g dw,0.296,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/14/1988-206ST0853-13488-WNG,Normal,1,California Mussel,Mytilus californianus,Not Recorded,45,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,55D4BF1B-E309-4173-B5C9-CC04E46FCE9A,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Mare Island,206ST0853,Bays and Harbors,38.075,-122.2458,nad83,1/14/1988,0:00:00,Not Recorded,Composite,1,1,NA,24024; SFEIRowID:242872,tissue,Not Recorded,Mercury,Total,ug/g ww,0.024,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/14/1988-206ST0853-13488-WNG,Normal,1,California Mussel,Mytilus californianus,Not Recorded,45,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,BEF49EE1-7EF1-429C-874B-814B7F8677B6,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Davis Point 1,206ST0364,Riv/Str_Unknown,38.0525,-122.26,nad83,1/14/1988,0:00:00,Not Recorded,Composite,1,1,NA,24019; SFEIRowID:223419,tissue,Not Recorded,Mercury,Total,ug/g dw,0.2,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/14/1988-206ST0364-13483-WNG,Normal,1,California Mussel,Mytilus californianus,Not Recorded,15,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,2F9C5559-574E-4DBD-BCE4-9DDEA54CBC3F,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,State Mussel Watch Program,03SWSBIO,Not Recorded,Davis Point 1,206ST0364,Riv/Str_Unknown,38.0525,-122.26,nad83,1/14/1988,0:00:00,Not Recorded,Composite,1,1,NA,24019; SFEIRowID:242913,tissue,Not Recorded,Mercury,Total,ug/g ww,0.019,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/14/1988-206ST0364-13483-WNG,Normal,1,California Mussel,Mytilus californianus,Not Recorded,15,whole without gut,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,72134040-CB4C-435F-BD29-88F71257B711,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,UCDavis3,03SWSBIO,Not Recorded,"Suisun Bay/Martinez Bridge, N. side",207ST1726,Bays and Harbors,38.064,-122.2246,nad83,1/1/1999,0:00:00,Not Recorded,Composite,1,1,NA,1597; SFEIRowID:81092,tissue,Not Recorded,Mercury,Total,ug/g dw,0.37135221,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/1/1999-207ST1726-8939-ST,Normal,1,Asiatic Clam,Potamocorbula amurensis,Not Recorded,18,soft tissue,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,71582CA4-8242-4FF3-86F4-396E83744FE0,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,UCDavis3,03SWSBIO,Not Recorded,"Suisun Bay/Martinez Bridge, N. side",207ST1726,Bays and Harbors,38.064,-122.2246,nad83,1/1/1999,0:00:00,Not Recorded,Composite,1,1,NA,1597; SFEIRowID:81093,tissue,Not Recorded,Mercury,Total,ug/g ww,0.04872141,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/1/1999-207ST1726-8939-ST,Normal,1,Asiatic Clam,Potamocorbula amurensis,Not Recorded,18,soft tissue,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,F7C627A2-BEE1-4DFB-B49F-EF2B102AE63D,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,UCDavis3,03SWSBIO,Not Recorded,"Suisun Bay/Martinez Bridge, N. side",207ST1726,Bays and Harbors,38.064,-122.2246,nad83,1/1/1999,0:00:00,Not Recorded,Composite,1,1,NA,3864; SFEIRowID:82159,tissue,Not Recorded,Mercury,Total,ug/g dw,0.15942938,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/1/1999-207ST1726-9549-WHL,Normal,1,Yellowfin Goby,Acanthogobius flavimanus,Not Recorded,13,whole organism,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,0053919F-BBC5-4E32-8493-65D665EC1FD6,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,UCDavis3,03SWSBIO,Not Recorded,"Suisun Bay/Martinez Bridge, N. side",207ST1726,Bays and Harbors,38.064,-122.2246,nad83,1/1/1999,0:00:00,Not Recorded,Composite,1,1,NA,3864; SFEIRowID:82160,tissue,Not Recorded,Mercury,Total,ug/g ww,0.02893643,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/1/1999-207ST1726-9549-WHL,Normal,1,Yellowfin Goby,Acanthogobius flavimanus,Not Recorded,13,whole organism,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,F7C7869D-3D30-4803-917B-5BA4F17D590B,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,UCDavis3,03SWSBIO,Not Recorded,"Suisun Bay/Martinez Bridge, N. side",207ST1726,Bays and Harbors,38.064,-122.2246,nad83,1/1/1999,0:00:00,Not Recorded,Composite,1,1,NA,3767; SFEIRowID:81965,tissue,Not Recorded,Mercury,Total,ug/g dw,0.11732732,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/1/1999-207ST1726-9451-WHL,Normal,1,Crangon Shrimp,Crangon,Not Recorded,10,whole organism,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,C76936A7-B60C-44F3-A4F0-E82EE070D982,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,UCDavis3,03SWSBIO,Not Recorded,"Suisun Bay/Martinez Bridge, N. side",207ST1726,Bays and Harbors,38.064,-122.2246,nad83,1/1/1999,0:00:00,Not Recorded,Composite,1,1,NA,3767; SFEIRowID:81966,tissue,Not Recorded,Mercury,Total,ug/g ww,0.02141224,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/1/1999-207ST1726-9451-WHL,Normal,1,Crangon Shrimp,Crangon,Not Recorded,10,whole organism,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,600D1BC9-7811-465D-B4EA-26C435F428E9,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,UCDavis3,03SWSBIO,Not Recorded,"Suisun Bay/Martinez Bridge, N. side",207ST1726,Bays and Harbors,38.064,-122.2246,nad83,1/1/1999,0:00:00,Not Recorded,Composite,1,1,NA,3863; SFEIRowID:82157,tissue,Not Recorded,Mercury,Total,ug/g dw,0.14030508,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/1/1999-207ST1726-9548-WHL,Normal,1,Yellowfin Goby,Acanthogobius flavimanus,Not Recorded,2,whole organism,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
tissue,3CF97864-1EA0-4450-8756-10CBEDBF9740,Metals,,Surface Water Ambient Monitoring Program,SWAMP Historic Bioaccumulation Data,UCDavis3,03SWSBIO,Not Recorded,"Suisun Bay/Martinez Bridge, N. side",207ST1726,Bays and Harbors,38.064,-122.2246,nad83,1/1/1999,0:00:00,Not Recorded,Composite,1,1,NA,3863; SFEIRowID:82158,tissue,Not Recorded,Mercury,Total,ug/g ww,0.02546537,,,=,None,VQN,Com,Not Recorded,Not Recorded,Not Recorded,1/1/1950,Not Recorded,1/1/1950,1/1/1950,1,,Not Recorded,Not Recorded,QN,"Lab QA may have been performed, but information not provided",1/1/1999-207ST1726-9548-WHL,Normal,1,Yellowfin Goby,Acanthogobius flavimanus,Not Recorded,2,whole organism,,,,,http://cd3.sfei.org/metadata.php,11/27/2020,SFEI,carq
